id,name,website,country,industry,assets,revenue
http://www.forbes.com/companies/bbva-banco-bilbao-vizcaya/,BBVA-Banco Bilbao Vizcaya,http://www.forbes.com/companies/bbva-banco-bilbao-vizcaya/,Spain,Diversified Banks,802800000000,28200000000
http://www.forbes.com/companies/nordea-bank/,Nordea Bank,http://www.forbes.com/companies/nordea-bank/,Sweden,Regional Banks,868700000000,25600000000
http://www.forbes.com/companies/bayer/,Bayer,http://www.forbes.com/companies/bayer/,,Diversified Chemicals,70700000000,53300000000
http://www.forbes.com/companies/china-minsheng-banking/,China Minsheng Banking,http://www.forbes.com/companies/china-minsheng-banking/,China,Regional Banks,541200000000,34100000000
http://www.forbes.com/companies/caterpillar/,Caterpillar,http://www.forbes.com/companies/caterpillar/,United States of America,Construction Machinery & Heavy Transportation Equipment,84900000000,55700000000
http://www.forbes.com/companies/standard-chartered/,Standard Chartered,http://www.forbes.com/companies/standard-chartered/,United Kingdom of Great Britain and Northern Ireland,Diversified Banks,674400000000,25600000000
http://www.forbes.com/companies/china-shenhua-energy/,China Shenhua Energy,http://www.forbes.com/companies/china-shenhua-energy/,China,Diversified Metals & Mining,80400000000,42800000000
http://www.forbes.com/companies/us-bancorp/,US Bancorp,http://www.forbes.com/companies/us-bancorp/,United States of America,Diversified Banks,364000000000,20200000000
http://www.forbes.com/companies/mitsubishi-corp/,Mitsubishi Corp,http://www.forbes.com/companies/mitsubishi-corp/,Japan,Trading Companies & Distributors,146500000000,74800000000
http://www.forbes.com/companies/dow-chemical/,Dow Chemical,http://www.forbes.com/companies/dow-chemical/,United States of America,Diversified Chemicals,69500000000,57100000000
http://www.forbes.com/companies/ecopetrol/,Ecopetrol,http://www.forbes.com/companies/ecopetrol/,Colombia,Integrated Oil & Gas,68500000000,37700000000
http://www.forbes.com/companies/industrial-bank/,Industrial Bank,http://www.forbes.com/companies/industrial-bank/,China,Regional Banks,593500000000,32700000000
http://www.forbes.com/companies/shanghai-pudong-development/,Shanghai Pudong Development,http://www.forbes.com/companies/shanghai-pudong-development/,China,Regional Banks,607900000000,31700000000
http://www.forbes.com/companies/eads/,EADS,http://www.forbes.com/companies/eads/,France,Aerospace & Defense,128600000000,78700000000
http://www.forbes.com/companies/swiss-re/,Swiss Re,http://www.forbes.com/companies/swiss-re/,Switzerland,Multi-line Insurance,205200000000,36800000000
http://www.forbes.com/companies/iberdrola/,Iberdrola,http://www.forbes.com/companies/iberdrola/,Spain,Electric Utilities,127300000000,43600000000
